timestamp,user_id,now_id,endpoint,use_case,type,ip,jwt_payload,label
2025-06-24T15:21:43.001Z,abuser5,abuser5,/admin,unknown,unknown,11.196.168.128,eyJ1c2VyX2lkIjoiYWJ1c2VyNSIsImlhdCI6MTc1MDc3ODUwMjk5OSwiZXhwIjoxNzUwNzc4NTA2NTk5fQ,invalid_endpoint
2025-06-24T15:21:43.113Z,abuser6,abuser6,/admin,unknown,unknown,217.214.198.79,eyJ1c2VyX2lkIjoiYWJ1c2VyNiIsImlhdCI6MTc1MDc3ODUwMzExMCwiZXhwIjoxNzUwNzc4NTA2NzEwfQ,invalid_endpoint
2025-06-24T15:21:43.225Z,unknown,abuser7,/browse,ViewPage,READ,183.17.80.2,eyJ1c2VyX2lkIjoiYWJ1c2VyNyIsImlhdCI6MTc1MDc3ODUwMzIyMiwiZXhwIjoxNzUwNzc4NTA2ODIyfQ,invalid_token
2025-06-24T15:21:43.345Z,unknown,abuser8,/edit,EditContent,UPDATE,2.73.98.202,invalid,no_token
2025-06-24T15:21:43.352Z,abuser8,abuser8,/logout,Logout,AUTH,2.73.98.202,eyJ1c2VyX2lkIjoiYWJ1c2VyOCIsImlhdCI6MTc1MDc3ODUwMzM1MCwiZXhwIjoxNzUwNzc4NTA2OTUwfQ,out_of_order
2025-06-24T15:21:43.471Z,unknown,abuser9,/edit,EditContent,UPDATE,40.51.162.44,invalid,no_token
2025-06-24T15:21:43.481Z,abuser9,abuser9,/logout,Logout,AUTH,40.51.162.44,eyJ1c2VyX2lkIjoiYWJ1c2VyOSIsImlhdCI6MTc1MDc3ODUwMzQ3OCwiZXhwIjoxNzUwNzc4NTA3MDc4fQ,out_of_order
2025-06-24T15:21:43.596Z,unknown,abuser10,/edit,EditContent,UPDATE,40.163.170.149,invalid,no_token
2025-06-24T15:21:45.257Z,abuser11,abuser11,/browse,ViewPage,READ,112.135.6.117,eyJ1c2VyX2lkIjoiYWJ1c2VyMTEiLCJpYXQiOjE3NTA3Nzg1MDMsImV4cCI6MTc1MDc3ODUwNH0,expired_token
2025-06-24T15:21:45.365Z,unknown,abuser12,/edit,EditContent,UPDATE,187.19.2.170,invalid,no_token
2025-06-24T15:21:45.376Z,abuser12,abuser12,/logout,Logout,AUTH,187.19.2.170,eyJ1c2VyX2lkIjoiYWJ1c2VyMTIiLCJpYXQiOjE3NTA3Nzg1MDUzNzQsImV4cCI6MTc1MDc3ODUwODk3NH0,out_of_order
2025-06-24T15:21:45.495Z,abuser13,abuser13,/browse,ViewPage,READ,162.173.74.126,eyJ1c2VyX2lkIjoiYWJ1c2VyMTMiLCJpYXQiOjE3NTA3Nzg1MDU0OTMsImV4cCI6MTc1MDc3ODUwOTA5M30,normal
2025-06-24T15:21:45.498Z,abuser13,abuser13,/logout,Logout,AUTH,162.173.74.126,eyJ1c2VyX2lkIjoiYWJ1c2VyMTMiLCJpYXQiOjE3NTA3Nzg1MDU0OTMsImV4cCI6MTc1MDc3ODUwOTA5M30,normal
2025-06-24T15:21:45.501Z,abuser13,abuser13,/edit,EditContent,UPDATE,162.173.74.126,eyJ1c2VyX2lkIjoiYWJ1c2VyMTMiLCJpYXQiOjE3NTA3Nzg1MDU0OTMsImV4cCI6MTc1MDc3ODUwOTA5M30,reuse_after_logout
2025-06-24T15:21:45.505Z,unknown,abuser13,/login,Login,AUTH,162.173.74.126,invalid,missing_user_id
2025-06-24T15:21:45.507Z,abuser13,abuser13,/admin,unknown,unknown,162.173.74.126,eyJ1c2VyX2lkIjoiYWJ1c2VyMTMiLCJpYXQiOjE3NTA3Nzg1MDU0OTMsImV4cCI6MTc1MDc3ODUwOTA5M30,invalid_endpoint
2025-06-24T15:21:45.619Z,abuser4,abuser14,/browse,ViewPage,READ,130.190.67.225,eyJ1c2VyX2lkIjoiYWJ1c2VyNCIsImlhdCI6MTc1MDc3ODUwMjU3MCwiZXhwIjoxNzUwNzc4NTA2MTcwfQ,token_reuse
2025-06-24T15:21:45.733Z,abuser15,abuser15,/admin,unknown,unknown,176.138.15.40,eyJ1c2VyX2lkIjoiYWJ1c2VyMTUiLCJpYXQiOjE3NTA3Nzg1MDU3MzEsImV4cCI6MTc1MDc3ODUwOTMzMX0,invalid_endpoint
2025-06-24T15:21:45.844Z,abuser16,abuser16,/browse,ViewPage,READ,149.173.248.176,eyJ1c2VyX2lkIjoiYWJ1c2VyMTYiLCJpYXQiOjE3NTA3Nzg1MDU4NDIsImV4cCI6MTc1MDc3ODUwOTQ0Mn0,normal
2025-06-24T15:21:45.848Z,abuser16,abuser16,/logout,Logout,AUTH,149.173.248.176,eyJ1c2VyX2lkIjoiYWJ1c2VyMTYiLCJpYXQiOjE3NTA3Nzg1MDU4NDIsImV4cCI6MTc1MDc3ODUwOTQ0Mn0,normal
2025-06-24T15:21:45.851Z,abuser16,abuser16,/edit,EditContent,UPDATE,149.173.248.176,eyJ1c2VyX2lkIjoiYWJ1c2VyMTYiLCJpYXQiOjE3NTA3Nzg1MDU4NDIsImV4cCI6MTc1MDc3ODUwOTQ0Mn0,reuse_after_logout
2025-06-24T15:21:45.855Z,unknown,abuser16,/login,Login,AUTH,149.173.248.176,invalid,missing_user_id
2025-06-24T15:21:45.857Z,abuser16,abuser16,/admin,unknown,unknown,149.173.248.176,eyJ1c2VyX2lkIjoiYWJ1c2VyMTYiLCJpYXQiOjE3NTA3Nzg1MDU4NDIsImV4cCI6MTc1MDc3ODUwOTQ0Mn0,invalid_endpoint
2025-06-24T15:21:45.967Z,abuser17,abuser17,/login,Login,AUTH,236.41.166.201,eyJ1c2VyX2lkIjoiYWJ1c2VyMTciLCJpYXQiOjE3NTA3Nzg1MDU5NjksImV4cCI6MTc1MDc3ODUwOTU2OX0,rapid_login
2025-06-24T15:21:46.029Z,abuser17,abuser17,/login,Login,AUTH,236.41.166.201,eyJ1c2VyX2lkIjoiYWJ1c2VyMTciLCJpYXQiOjE3NTA3Nzg1MDYwMzEsImV4cCI6MTc1MDc3ODUwOTYzMX0,rapid_login
2025-06-24T15:21:46.093Z,abuser17,abuser17,/login,Login,AUTH,236.41.166.201,eyJ1c2VyX2lkIjoiYWJ1c2VyMTciLCJpYXQiOjE3NTA3Nzg1MDYwOTUsImV4cCI6MTc1MDc3ODUwOTY5NX0,rapid_login
2025-06-24T15:21:46.157Z,abuser17,abuser17,/login,Login,AUTH,236.41.166.201,eyJ1c2VyX2lkIjoiYWJ1c2VyMTciLCJpYXQiOjE3NTA3Nzg1MDYxNTksImV4cCI6MTc1MDc3ODUwOTc1OX0,rapid_login
2025-06-24T15:21:46.221Z,abuser17,abuser17,/login,Login,AUTH,236.41.166.201,eyJ1c2VyX2lkIjoiYWJ1c2VyMTciLCJpYXQiOjE3NTA3Nzg1MDYyMjMsImV4cCI6MTc1MDc3ODUwOTgyM30,rapid_login
2025-06-24T15:21:46.394Z,unknown,abuser18,/edit,EditContent,UPDATE,31.160.17.22,invalid,no_token
2025-06-24T15:21:46.509Z,unknown,abuser19,/browse,ViewPage,READ,123.113.240.161,eyJ1c2VyX2lkIjoiYWJ1c2VyMTkiLCJpYXQiOjE3NTA3Nzg1MDY1MDYsImV4cCI6MTc1MDc3ODUxMDEwNn0,invalid_token
2025-06-24T15:21:46.616Z,unknown,abuser20,/login,Login,AUTH,129.222.106.227,invalid,missing_user_id
2025-06-24T15:21:46.730Z,unknown,abuser21,/browse,ViewPage,READ,23.217.183.220,eyJ1c2VyX2lkIjoiYWJ1c2VyMjEiLCJpYXQiOjE3NTA3Nzg1MDY3MjgsImV4cCI6MTc1MDc3ODUxMDMyOH0,invalid_token
2025-06-24T15:21:48.338Z,abuser22,abuser22,/browse,ViewPage,READ,27.3.1.150,eyJ1c2VyX2lkIjoiYWJ1c2VyMjIiLCJpYXQiOjE3NTA3Nzg1MDYsImV4cCI6MTc1MDc3ODUwN30,expired_token
2025-06-24T15:21:48.449Z,unknown,abuser23,/login,Login,AUTH,235.142.172.107,invalid,missing_user_id
2025-06-24T15:21:48.559Z,abuser21,abuser24,/browse,ViewPage,READ,48.164.85.186,eyJ1c2VyX2lkIjoiYWJ1c2VyMjEiLCJpYXQiOjE3NTA3Nzg1MDY3MjgsImV4cCI6MTc1MDc3ODUxMDMyOH0,token_reuse
2025-06-24T15:21:48.670Z,abuser25,abuser25,/login,Login,AUTH,65.5.123.28,eyJ1c2VyX2lkIjoiYWJ1c2VyMjUiLCJpYXQiOjE3NTA3Nzg1MDg2NzIsImV4cCI6MTc1MDc3ODUxMjI3Mn0,rapid_login
2025-06-24T15:21:48.732Z,abuser25,abuser25,/login,Login,AUTH,65.5.123.28,eyJ1c2VyX2lkIjoiYWJ1c2VyMjUiLCJpYXQiOjE3NTA3Nzg1MDg3MzQsImV4cCI6MTc1MDc3ODUxMjMzNH0,rapid_login
2025-06-24T15:21:48.796Z,abuser25,abuser25,/login,Login,AUTH,65.5.123.28,eyJ1c2VyX2lkIjoiYWJ1c2VyMjUiLCJpYXQiOjE3NTA3Nzg1MDg3OTgsImV4cCI6MTc1MDc3ODUxMjM5OH0,rapid_login
2025-06-24T15:21:48.860Z,abuser25,abuser25,/login,Login,AUTH,65.5.123.28,eyJ1c2VyX2lkIjoiYWJ1c2VyMjUiLCJpYXQiOjE3NTA3Nzg1MDg4NjIsImV4cCI6MTc1MDc3ODUxMjQ2Mn0,rapid_login
2025-06-24T15:21:48.924Z,abuser25,abuser25,/login,Login,AUTH,65.5.123.28,eyJ1c2VyX2lkIjoiYWJ1c2VyMjUiLCJpYXQiOjE3NTA3Nzg1MDg5MjUsImV4cCI6MTc1MDc3ODUxMjUyNX0,rapid_login
2025-06-24T15:21:49.104Z,abuser26,abuser26,/browse,ViewPage,READ,125.243.123.51,eyJ1c2VyX2lkIjoiYWJ1c2VyMjYiLCJpYXQiOjE3NTA3Nzg1MDkxMDIsImV4cCI6MTc1MDc3ODUxMjcwMn0,ip_switch
2025-06-24T15:21:49.210Z,unknown,abuser27,/edit,EditContent,UPDATE,123.116.240.29,invalid,no_token
2025-06-24T15:21:49.321Z,abuser7,abuser28,/browse,ViewPage,READ,43.237.64.200,eyJ1c2VyX2lkIjoiYWJ1c2VyNyIsImlhdCI6MTc1MDc3ODUwMzIyMiwiZXhwIjoxNzUwNzc4NTA2ODIyfQ,token_reuse
2025-06-24T15:21:49.433Z,abuser29,abuser29,/login,Login,AUTH,231.249.184.15,eyJ1c2VyX2lkIjoiYWJ1c2VyMjkiLCJpYXQiOjE3NTA3Nzg1MDk0MzYsImV4cCI6MTc1MDc3ODUxMzAzNn0,rapid_login
2025-06-24T15:21:49.497Z,abuser29,abuser29,/login,Login,AUTH,231.249.184.15,eyJ1c2VyX2lkIjoiYWJ1c2VyMjkiLCJpYXQiOjE3NTA3Nzg1MDk0OTksImV4cCI6MTc1MDc3ODUxMzA5OX0,rapid_login
2025-06-24T15:21:49.561Z,abuser29,abuser29,/login,Login,AUTH,231.249.184.15,eyJ1c2VyX2lkIjoiYWJ1c2VyMjkiLCJpYXQiOjE3NTA3Nzg1MDk1NjMsImV4cCI6MTc1MDc3ODUxMzE2M30,rapid_login
2025-06-24T15:21:49.624Z,abuser29,abuser29,/login,Login,AUTH,231.249.184.15,eyJ1c2VyX2lkIjoiYWJ1c2VyMjkiLCJpYXQiOjE3NTA3Nzg1MDk2MjYsImV4cCI6MTc1MDc3ODUxMzIyNn0,rapid_login
2025-06-24T15:21:49.687Z,abuser29,abuser29,/login,Login,AUTH,231.249.184.15,eyJ1c2VyX2lkIjoiYWJ1c2VyMjkiLCJpYXQiOjE3NTA3Nzg1MDk2ODksImV4cCI6MTc1MDc3ODUxMzI4OX0,rapid_login
2025-06-24T15:21:49.866Z,unknown,abuser30,/browse,ViewPage,READ,6.183.130.169,eyJ1c2VyX2lkIjoiYWJ1c2VyMzAiLCJpYXQiOjE3NTA3Nzg1MDk4NjQsImV4cCI6MTc1MDc3ODUxMzQ2NH0,invalid_token
2025-06-24T15:21:49.974Z,abuser31,abuser31,/login,Login,AUTH,48.99.93.45,eyJ1c2VyX2lkIjoiYWJ1c2VyMzEiLCJpYXQiOjE3NTA3Nzg1MDk5NzYsImV4cCI6MTc1MDc3ODUxMzU3Nn0,rapid_login
2025-06-24T15:21:50.038Z,abuser31,abuser31,/login,Login,AUTH,48.99.93.45,eyJ1c2VyX2lkIjoiYWJ1c2VyMzEiLCJpYXQiOjE3NTA3Nzg1MTAwNDAsImV4cCI6MTc1MDc3ODUxMzY0MH0,rapid_login
2025-06-24T15:21:50.101Z,abuser31,abuser31,/login,Login,AUTH,48.99.93.45,eyJ1c2VyX2lkIjoiYWJ1c2VyMzEiLCJpYXQiOjE3NTA3Nzg1MTAxMDIsImV4cCI6MTc1MDc3ODUxMzcwMn0,rapid_login
2025-06-24T15:21:50.165Z,abuser31,abuser31,/login,Login,AUTH,48.99.93.45,eyJ1c2VyX2lkIjoiYWJ1c2VyMzEiLCJpYXQiOjE3NTA3Nzg1MTAxNjYsImV4cCI6MTc1MDc3ODUxMzc2Nn0,rapid_login
2025-06-24T15:21:50.229Z,abuser31,abuser31,/login,Login,AUTH,48.99.93.45,eyJ1c2VyX2lkIjoiYWJ1c2VyMzEiLCJpYXQiOjE3NTA3Nzg1MTAyMzAsImV4cCI6MTc1MDc3ODUxMzgzMH0,rapid_login
2025-06-24T15:21:50.407Z,abuser32,abuser32,/browse,ViewPage,READ,183.92.207.159,eyJ1c2VyX2lkIjoiYWJ1c2VyMzIiLCJpYXQiOjE3NTA3Nzg1MTA0MDUsImV4cCI6MTc1MDc3ODUxNDAwNX0,ip_switch
2025-06-24T15:21:50.512Z,abuser29,abuser33,/browse,ViewPage,READ,128.215.51.198,eyJ1c2VyX2lkIjoiYWJ1c2VyMjkiLCJpYXQiOjE3NTA3Nzg1MDk0MzYsImV4cCI6MTc1MDc3ODUxMzAzNn0,token_reuse
2025-06-24T15:21:50.627Z,abuser34,abuser34,/browse,ViewPage,READ,64.193.90.83,eyJ1c2VyX2lkIjoiYWJ1c2VyMzQiLCJpYXQiOjE3NTA3Nzg1MTA2MjUsImV4cCI6MTc1MDc3ODUxNDIyNX0,normal
2025-06-24T15:21:50.630Z,abuser34,abuser34,/logout,Logout,AUTH,64.193.90.83,eyJ1c2VyX2lkIjoiYWJ1c2VyMzQiLCJpYXQiOjE3NTA3Nzg1MTA2MjUsImV4cCI6MTc1MDc3ODUxNDIyNX0,normal
2025-06-24T15:21:50.634Z,abuser34,abuser34,/edit,EditContent,UPDATE,64.193.90.83,eyJ1c2VyX2lkIjoiYWJ1c2VyMzQiLCJpYXQiOjE3NTA3Nzg1MTA2MjUsImV4cCI6MTc1MDc3ODUxNDIyNX0,reuse_after_logout
2025-06-24T15:21:50.637Z,unknown,abuser34,/login,Login,AUTH,64.193.90.83,invalid,missing_user_id
2025-06-24T15:21:50.639Z,abuser34,abuser34,/admin,unknown,unknown,64.193.90.83,eyJ1c2VyX2lkIjoiYWJ1c2VyMzQiLCJpYXQiOjE3NTA3Nzg1MTA2MjUsImV4cCI6MTc1MDc3ODUxNDIyNX0,invalid_endpoint
2025-06-24T15:21:52.258Z,abuser35,abuser35,/browse,ViewPage,READ,222.129.238.191,eyJ1c2VyX2lkIjoiYWJ1c2VyMzUiLCJpYXQiOjE3NTA3Nzg1MTAsImV4cCI6MTc1MDc3ODUxMX0,expired_token
2025-06-24T15:21:52.373Z,unknown,abuser36,/browse,ViewPage,READ,143.17.76.31,eyJ1c2VyX2lkIjoiYWJ1c2VyMzYiLCJpYXQiOjE3NTA3Nzg1MTIzNjksImV4cCI6MTc1MDc3ODUxNTk2OX0,invalid_token
2025-06-24T15:21:52.492Z,unknown,abuser37,/edit,EditContent,UPDATE,157.63.134.29,invalid,no_token
2025-06-24T15:21:52.601Z,abuser29,abuser38,/browse,ViewPage,READ,180.5.220.37,eyJ1c2VyX2lkIjoiYWJ1c2VyMjkiLCJpYXQiOjE3NTA3Nzg1MDk2MjYsImV4cCI6MTc1MDc3ODUxMzIyNn0,token_reuse
2025-06-24T15:21:52.713Z,unknown,abuser39,/edit,EditContent,UPDATE,87.217.70.91,invalid,no_token
2025-06-24T15:21:52.719Z,abuser39,abuser39,/logout,Logout,AUTH,87.217.70.91,eyJ1c2VyX2lkIjoiYWJ1c2VyMzkiLCJpYXQiOjE3NTA3Nzg1MTI3MTcsImV4cCI6MTc1MDc3ODUxNjMxN30,out_of_order
2025-06-24T15:21:52.837Z,unknown,abuser40,/edit,EditContent,UPDATE,58.201.183.38,invalid,no_token
2025-06-24T15:21:54.450Z,abuser41,abuser41,/browse,ViewPage,READ,30.128.76.89,eyJ1c2VyX2lkIjoiYWJ1c2VyNDEiLCJpYXQiOjE3NTA3Nzg1MTIsImV4cCI6MTc1MDc3ODUxM30,expired_token
2025-06-24T15:21:54.565Z,unknown,abuser42,/browse,ViewPage,READ,162.165.84.31,eyJ1c2VyX2lkIjoiYWJ1c2VyNDIiLCJpYXQiOjE3NTA3Nzg1MTQ1NjMsImV4cCI6MTc1MDc3ODUxODE2M30,invalid_token
2025-06-24T15:21:54.671Z,unknown,abuser43,/edit,EditContent,UPDATE,87.122.32.89,invalid,no_token
2025-06-24T15:21:54.678Z,abuser43,abuser43,/logout,Logout,AUTH,87.122.32.89,eyJ1c2VyX2lkIjoiYWJ1c2VyNDMiLCJpYXQiOjE3NTA3Nzg1MTQ2NzYsImV4cCI6MTc1MDc3ODUxODI3Nn0,out_of_order
2025-06-24T15:21:54.783Z,unknown,abuser44,/login,Login,AUTH,190.174.10.66,invalid,missing_user_id
2025-06-24T15:21:54.897Z,abuser45,abuser45,/browse,ViewPage,READ,21.247.166.154,eyJ1c2VyX2lkIjoiYWJ1c2VyNDUiLCJpYXQiOjE3NTA3Nzg1MTQ4OTUsImV4cCI6MTc1MDc3ODUxODQ5NX0,ip_switch
2025-06-24T15:21:55.004Z,unknown,abuser46,/login,Login,AUTH,10.53.124.67,invalid,missing_user_id
2025-06-24T15:21:55.113Z,unknown,abuser47,/login,Login,AUTH,19.52.185.47,invalid,missing_user_id
2025-06-24T15:21:55.228Z,unknown,abuser48,/browse,ViewPage,READ,223.180.134.103,eyJ1c2VyX2lkIjoiYWJ1c2VyNDgiLCJpYXQiOjE3NTA3Nzg1MTUyMjYsImV4cCI6MTc1MDc3ODUxODgyNn0,invalid_token
2025-06-24T15:21:55.338Z,unknown,abuser49,/browse,ViewPage,READ,125.165.232.153,eyJ1c2VyX2lkIjoiYWJ1c2VyNDkiLCJpYXQiOjE3NTA3Nzg1MTUzMzYsImV4cCI6MTc1MDc3ODUxODkzNn0,invalid_token
2025-06-24T15:21:55.450Z,abuser50,abuser50,/browse,ViewPage,READ,172.116.109.173,eyJ1c2VyX2lkIjoiYWJ1c2VyNTAiLCJpYXQiOjE3NTA3Nzg1MTU0NDcsImV4cCI6MTc1MDc3ODUxOTA0N30,normal
2025-06-24T15:21:55.454Z,abuser50,abuser50,/logout,Logout,AUTH,172.116.109.173,eyJ1c2VyX2lkIjoiYWJ1c2VyNTAiLCJpYXQiOjE3NTA3Nzg1MTU0NDcsImV4cCI6MTc1MDc3ODUxOTA0N30,normal
2025-06-24T15:21:55.457Z,abuser50,abuser50,/edit,EditContent,UPDATE,172.116.109.173,eyJ1c2VyX2lkIjoiYWJ1c2VyNTAiLCJpYXQiOjE3NTA3Nzg1MTU0NDcsImV4cCI6MTc1MDc3ODUxOTA0N30,reuse_after_logout
2025-06-24T15:21:55.460Z,unknown,abuser50,/login,Login,AUTH,172.116.109.173,invalid,missing_user_id
2025-06-24T15:21:55.462Z,abuser50,abuser50,/admin,unknown,unknown,172.116.109.173,eyJ1c2VyX2lkIjoiYWJ1c2VyNTAiLCJpYXQiOjE3NTA3Nzg1MTU0NDcsImV4cCI6MTc1MDc3ODUxOTA0N30,invalid_endpoint
2025-06-24T15:21:55.582Z,abuser51,abuser51,/admin,unknown,unknown,219.140.3.21,eyJ1c2VyX2lkIjoiYWJ1c2VyNTEiLCJpYXQiOjE3NTA3Nzg1MTU1NzYsImV4cCI6MTc1MDc3ODUxOTE3Nn0,invalid_endpoint
2025-06-24T15:21:55.709Z,abuser52,abuser52,/browse,ViewPage,READ,127.23.217.92,eyJ1c2VyX2lkIjoiYWJ1c2VyNTIiLCJpYXQiOjE3NTA3Nzg1MTU3MDYsImV4cCI6MTc1MDc3ODUxOTMwNn0,normal
2025-06-24T15:21:55.714Z,abuser52,abuser52,/logout,Logout,AUTH,127.23.217.92,eyJ1c2VyX2lkIjoiYWJ1c2VyNTIiLCJpYXQiOjE3NTA3Nzg1MTU3MDYsImV4cCI6MTc1MDc3ODUxOTMwNn0,normal
2025-06-24T15:21:55.717Z,abuser52,abuser52,/edit,EditContent,UPDATE,127.23.217.92,eyJ1c2VyX2lkIjoiYWJ1c2VyNTIiLCJpYXQiOjE3NTA3Nzg1MTU3MDYsImV4cCI6MTc1MDc3ODUxOTMwNn0,reuse_after_logout
2025-06-24T15:21:55.720Z,unknown,abuser52,/login,Login,AUTH,127.23.217.92,invalid,missing_user_id
2025-06-24T15:21:55.723Z,abuser52,abuser52,/admin,unknown,unknown,127.23.217.92,eyJ1c2VyX2lkIjoiYWJ1c2VyNTIiLCJpYXQiOjE3NTA3Nzg1MTU3MDYsImV4cCI6MTc1MDc3ODUxOTMwNn0,invalid_endpoint
2025-06-24T15:21:55.830Z,abuser53,abuser53,/admin,unknown,unknown,252.201.51.53,eyJ1c2VyX2lkIjoiYWJ1c2VyNTMiLCJpYXQiOjE3NTA3Nzg1MTU4MjgsImV4cCI6MTc1MDc3ODUxOTQyOH0,invalid_endpoint
2025-06-24T15:21:55.937Z,unknown,abuser54,/login,Login,AUTH,155.143.45.75,invalid,missing_user_id
2025-06-24T15:21:56.052Z,abuser55,abuser55,/browse,ViewPage,READ,148.82.89.72,eyJ1c2VyX2lkIjoiYWJ1c2VyNTUiLCJpYXQiOjE3NTA3Nzg1MTYwNTAsImV4cCI6MTc1MDc3ODUxOTY1MH0,ip_switch
2025-06-24T15:21:56.159Z,abuser56,abuser56,/login,Login,AUTH,127.133.73.72,eyJ1c2VyX2lkIjoiYWJ1c2VyNTYiLCJpYXQiOjE3NTA3Nzg1MTYxNjEsImV4cCI6MTc1MDc3ODUxOTc2MX0,rapid_login
2025-06-24T15:21:56.223Z,abuser56,abuser56,/login,Login,AUTH,127.133.73.72,eyJ1c2VyX2lkIjoiYWJ1c2VyNTYiLCJpYXQiOjE3NTA3Nzg1MTYyMjQsImV4cCI6MTc1MDc3ODUxOTgyNH0,rapid_login
2025-06-24T15:21:56.286Z,abuser56,abuser56,/login,Login,AUTH,127.133.73.72,eyJ1c2VyX2lkIjoiYWJ1c2VyNTYiLCJpYXQiOjE3NTA3Nzg1MTYyODgsImV4cCI6MTc1MDc3ODUxOTg4OH0,rapid_login
2025-06-24T15:21:56.349Z,abuser56,abuser56,/login,Login,AUTH,127.133.73.72,eyJ1c2VyX2lkIjoiYWJ1c2VyNTYiLCJpYXQiOjE3NTA3Nzg1MTYzNTEsImV4cCI6MTc1MDc3ODUxOTk1MX0,rapid_login
2025-06-24T15:21:56.412Z,abuser56,abuser56,/login,Login,AUTH,127.133.73.72,eyJ1c2VyX2lkIjoiYWJ1c2VyNTYiLCJpYXQiOjE3NTA3Nzg1MTY0MTUsImV4cCI6MTc1MDc3ODUyMDAxNX0,rapid_login
2025-06-24T15:21:56.593Z,abuser57,abuser57,/logout,Logout,AUTH,162.73.245.71,eyJ1c2VyX2lkIjoiYWJ1c2VyNTciLCJpYXQiOjE3NTA3Nzg1MTY1OTEsImV4cCI6MTc1MDc3ODUyMDE5MX0,normal
2025-06-24T15:21:56.598Z,abuser57,abuser57,/browse,ViewPage,READ,162.73.245.71,eyJ1c2VyX2lkIjoiYWJ1c2VyNTciLCJpYXQiOjE3NTA3Nzg1MTY1OTEsImV4cCI6MTc1MDc3ODUyMDE5MX0,reuse_after_logout
2025-06-24T15:21:58.220Z,abuser58,abuser58,/browse,ViewPage,READ,215.64.240.253,eyJ1c2VyX2lkIjoiYWJ1c2VyNTgiLCJpYXQiOjE3NTA3Nzg1MTYsImV4cCI6MTc1MDc3ODUxN30,expired_token
2025-06-24T15:21:58.342Z,unknown,abuser59,/login,Login,AUTH,194.21.164.40,invalid,missing_user_id
2025-06-24T15:21:59.956Z,abuser60,abuser60,/browse,ViewPage,READ,58.57.152.248,eyJ1c2VyX2lkIjoiYWJ1c2VyNjAiLCJpYXQiOjE3NTA3Nzg1MTgsImV4cCI6MTc1MDc3ODUxOX0,expired_token
